start.date,end.date,block,treatment,plot,replicate,sampling.method,genus,species,num.workers
2008-07-18,2008-07-28,Valley,HardwoodControl,8,3,Litter_sifting,Stenamma,impar,1
2008-09-22,2008-10-02,Valley,HardwoodControl,8,3,Pitfall,Aphaenogaster,picea,1
2008-05-19,2008-05-29,Valley,HardwoodControl,8,4,Litter_sifting,Aphaenogaster,picea,3
2008-07-18,2008-07-28,Valley,HardwoodControl,8,4,Pitfall,Aphaenogaster,picea,4
2008-07-18,2008-07-28,Valley,HardwoodControl,8,4,Litter_sifting,Lasius,aphidicolus,29
2008-07-18,2008-07-28,Valley,HardwoodControl,8,4,Litter_sifting,Myrmica,punctiventris,1
2008-07-18,2008-07-28,Valley,HardwoodControl,8,4,Litter_sifting,Stenamma,impar,4
2008-09-22,2008-10-02,Valley,HardwoodControl,8,4,Litter_sifting,Aphaenogaster,picea,2
2008-05-19,2008-05-29,Valley,HardwoodControl,8,5,Pitfall,Aphaenogaster,picea,1
2008-05-19,2008-05-29,Valley,HardwoodControl,8,5,Litter_sifting,Aphaenogaster,picea,4
2008-05-19,2008-05-29,Valley,HardwoodControl,8,5,Pitfall,Aphaenogaster,picea,1
2008-05-19,2008-05-29,Valley,HardwoodControl,8,5,Litter_sifting,Formica,subaenescens,2
2008-07-18,2008-07-28,Valley,HardwoodControl,8,5,Litter_sifting,Aphaenogaster,picea,2
2008-07-18,2008-07-28,Valley,HardwoodControl,8,5,Litter_sifting,Formica,subaenescens,2
2008-07-18,2008-07-28,Valley,HardwoodControl,8,5,Litter_sifting,Myrmecina,americana,1
2008-07-18,2008-07-28,Valley,HardwoodControl,8,5,Litter_sifting,Myrmica,punctiventris,1
2008-09-22,2008-10-02,Valley,HardwoodControl,8,5,Pitfall,Myrmica,punctiventris,1
